ID,DATAISTITUZIONE,DATACESSAZIONE,CODISTAT,CODCATASTALE,DENOMINAZIONE_IT,DENOMTRASLITTERATA,ALTRADENOMINAZIONE,ALTRADENOMTRASLITTERATA,IDPROVINCIA,IDPROVINCIAISTAT,IDREGIONE,IDPREFETTURA,STATO,SIGLAPROVINCIA,FONTE,DATAULTIMOAGG,COD_DENOM
1,1924-11-14,9999-12-31,028001,A001,ABANO TERME,ABANO TERME,,,28,028,05,PD,A,PD,,2016-06-17,
4,1992-04-16,9999-12-31,098001,A004,ABBADIA CERRETO,ABBADIA CERRETO,,,98,098,03,LO,A,LO,,2016-06-17,
7,1992-04-16,9999-12-31,097001,A005,ABBADIA LARIANA,ABBADIA LARIANA,,,97,097,03,LC,A,LC,,2016-06-17,
8,1867-07-22,9999-12-31,052001,A006,ABBADIA SAN SALVATORE,ABBADIA SAN SALVATORE,,,52,052,09,SI,A,SI,,2016-06-17,
10,1974-08-20,9999-12-31,095001,A007,ABBASANTA,ABBASANTA,,,95,095,20,OR,A,OR,,2016-06-17,
12,1947-01-10,9999-12-31,068001,A008,ABBATEGGIO,ABBATEGGIO,,,68,068,13,PE,A,PE,,2016-06-17,
14,1869-04-05,9999-12-31,015002,A010,ABBIATEGRASSO,ABBIATEGRASSO,,,15,015,03,MI,A,MI,,2016-06-17,
17,1861-03-17,9999-12-31,076001,A013,ABRIOLA,ABRIOLA,,,76,076,17,PZ,A,PZ,,2016-06-17,
18,1938-07-09,9999-12-31,088001,A014,ACATE,ACATE,,,88,088,19,RG,A,RG,,2016-06-17,
19,1927-08-06,9999-12-31,071001,A015,ACCADIA,ACCADIA,,,71,071,16,FG,A,FG,,2016-06-17,
20,1861-03-17,9999-12-31,004001,A016,ACCEGLIO,ACCEGLIO,,,4,004,01,CN,A,CN,,2016-06-17,
21,1927-01-12,9999-12-31,077001,A017,ACCETTURA,ACCETTURA,,,77,077,17,MT,A,MT,,2016-06-17,
22,1861-03-17,9999-12-31,066001,A018,ACCIANO,ACCIANO,,,66,066,13,AQ,A,AQ,,2016-06-17,
