cod_amm	des_amm	Comune	nome_resp	cogn_resp	Cap	Provincia	Regione	sito_istituzionale	Indirizzo	titolo_resp	tipologia_istat	tipologia_amm	acronimo	cf_validato	cf	mail1	tipo_mail1	mail2	tipo_mail2	mail3	tipo_mail3	mail4	tipo_mail4	mail5	tipo_mail5	url_facebook	url_twitter	url_youtube	url_linkedin	liv_accessibili
3BEP4ZAX	COMUNE DI MORANSENGO-TONENGO	Moransengo-Tonengo	RAFFAELE ANGELO	AUDINO	14027	AT	Piemonte	HTTP://WWW.COMUNE.MORANSENGOTONENGO.IT	Via Airali n. 9	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni	MORANSENGO-TONENGO	S	01726610056	comune.moransengotonengo@legalmail.it	Pec	null	null	null	null	null	null	null	null					
3PS17TYB	comune di misiliscemi	Misiliscemi	SALVATORE ANTONINO	TALLARITA	91131	TP	Sicilia	www.comune.misiliscemi.tp.it	Via Salinagrande, 23	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	93085580814	protocollo@pec.comune.misiliscemi.tp.it	Pec	protocollo@comune.misiliscemi.tp.it	Altro	salvatoreantonino.tallarita@comune.misiliscemi.tp.it	Altro	segreteria@comune.misiliscemi.tp.it	Altro	null	null					
40B59AWR	COMUNE DI SOVIZZO	Sovizzo	MATTEO	FORLIN	36050	VI	Veneto	www.comune.sovizzo.vi.it/	Via CAVALIERI DI VITTORIO VENETO N. 21	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	04506950247	sovizzo.vi@cert.ip-veneto.net	Pec	protocollo@comune.sovizzo.vi.it	Altro	null	null	null	null	null	null					
A690_bpe	Comune di Bascape'	Bascapè	Emanuela	Curti	27010	PV	Lombardia	www.comune.bascape.pv.it	Piazza Della Repubblica 2	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	00414580183	comune.bascape@pec.regione.lombardia.it	Pec	info@comune.bascape.pv.it	Altro	ragioneria@comune.bascape.pv.it	Altro	null	null	null	null					
B432	Comune di Calto	Calto	Nico	Manfredi	45030	RO	Veneto	www.comune.calto.ro.it	Piazza IV Novembre 165	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	00197650294	comune.calto.ro@pecveneto.it	Pec	demografici@comune.calto.ro.it	Altro	protocollo@comune.calto.ro.it	Altro	null	null	null	null					
c_0319	Comune di Dolcedo	Dolcedo	Francesca	Viglione	18020	IM	Liguria	www.comune.dolcedo.im.it	Piazza Doria, 35	Segretario	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	00246190086	comune.dolcedo@legalmail.it	Pec	null	null	null	null	null	null	null	null					
c_067039	Comune di Sant'Omero	Sant'Omero	Andrea	Luzii	64027	TE	Abruzzo	www.comune.santomero.te.it	Via Vittorio Veneto, 52	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	82002660676	protocollo@pec.comune.santomero.te.it	Pec	null	null	null	null	null	null	null	null					
c_0899	Comune di Gambettola	Gambettola	Eugenio	Battistini	47035	FC	Emilia-Romagna	www.comune.gambettola.fc.it	Piazza II Risorgimento, 6	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	00607230406	comune.gambettola@cert.provincia.fc.it	Pec	ragioneria@comune.gambettola.fc.it	Altro	null	null	null	null	null	null	https://www.facebook.com/ComunediGambettola				
c_0res	Comune di Corte Brugnatella	Corte Brugnatella	Renato	Bertonazzi	29020	PC	Emilia-Romagna	www.comune.cortebrugnatella.pc.it	Piazza S.Balletti 2	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	80004220333	comune.cortebrugnatella@sintranet.legalmail.it	Pec	comune@comune.cortebrugnatella.pc.it	Altro	null	null	null	null	null	null					
c_11j8	Comune di Maropati	Maropati	Rocco Giorgio	Ciurleo	89020	RC	Calabria	www.comune.maropati.rc.it	Via On. Bettino Craxi,	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	82000870806	protocollo.maropati@asmepec.it	Pec	ragioneria.maropati@asmepec.it	Pec	null	null	null	null	null	null					
c_1jzf	Comune di Vallio Terme	Vallio Terme	Attilio	Musesti	25080	BS	Lombardia	www.comune.vallioterme.bs.it	Via Repubblica 1	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	00843830175	protocollo@pec.comune.vallioterme.bs.it	Pec	RAGIONERIA@COMUNE.VALLIOTERME.BS.IT	Altro	null	null	null	null	null	null					
c_1k21	Comune di Caderzone Terme	Caderzone Terme	Marcello	Mosca	38080	TN	Trentino-Alto Adige/Südtirol	www.comune.caderzoneterme.tn.it	Via Regina Elena 45	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	00293350229	comune@pec.caderzone.net	Pec	anagrafe@pec.caderzone.net	Pec	comune@caderzone.net	Altro	contabilita@pec.caderzone.net	Pec	null	null					
c_295	Comune di Incisa Scapaccino	Incisa Scapaccino	Ettore Marco	Denicolai	14045	AT	Piemonte	www.comune.incisascapaccino.at.it	Piazza Ferraro, 13	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	82002310058	incisa.scapaccino@cert.ruparpiemonte.it	Pec	null	null	null	null	null	null	null	null					
c_3740	Comune di Val di Zoldo	Val di Zoldo	Camillo	De Pellegrin	32010	BL	Veneto	www.comune.valdizoldo.bl.it	Piazza Giovanni Angelini, 1	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni	val di zoldo	S	01184730255	comune.valdizoldo.bl@pecveneto.it	Pec	daniela.defanti@clz.bl.it	Altro	valdizoldo@clz.bl.it	Altro	null	null	null	null					
c_3rhm	Comune di Cellino Attanasio	Cellino Attanasio	Giuseppe	Del papa	64036	TE	Abruzzo	www.comunecellinoattanasio.te.it	Via Rubini 1	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	81000350678	postacert@pec.comune.cellinoattanasio.te.it	Pec	null	null	null	null	null	null	null	null					
