regione,comuni_subentro,popolazione_subentro,popolazione_aire_subentro,comuni_presubentro,popolazione_presubentro,popolazione_aire_presubentro
Abruzzo,244,989628,154785,32,67811,0
Basilicata,62,307455,70639,18,68835,0
Calabria,217,968187,222113,57,357061,0
Campania,354,3701391,354318,53,475696,0
Emilia Romagna,300,4167498,190302,7,198994,0
Friuli Venezia Giulia,175,624062,111002,13,444562,0
Lazio,255,2315718,111222,46,3163545,0
Liguria,153,1395579,129450,34,44639,0
Lombardia,1348,9219015,474783,60,363630,0
Marche,166,1071327,109240,26,240627,0
Molise,107,263270,76163,11,14154,531
Piemonte,1106,4205177,286995,48,116916,0
Puglia,208,3520892,303608,23,225542,0
Sardegna,346,1548711,113510,14,27320,0
Sicilia,268,3708523,508938,44,448234,0
Toscana,260,3467030,162258,10,248793,0
Trentino Alto Adige,158,539929,63774,16,41745,0
Umbria,58,740587,33853,6,54180,0
Valle D'Aosta,74,126435,6495,0,0,0
Veneto,508,4291516,390434,18,173028,0
